City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,badger,64.8,-147.5333,-14.07,82,100,0.0,US,1738698542
82,natal,-5.795,-35.2094,28.36,74,40,7.2,BR,1738698125
83,bonthe,7.5264,-12.505,25.67,65,99,3.7,SL,1738698545
84,hirara,24.8,125.2833,12.92,58,100,6.17,JP,1738698546
85,remire-montjoly,4.9167,-52.2667,29.02,79,75,4.63,GF,1738698547
86,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.05,PT,1738698548
87,wuhai,39.6647,106.8122,-10.85,47,1,2.25,CN,1738698549
88,bredasdorp,-34.5322,20.0403,18.97,78,0,1.81,ZA,1738698550
89,kill devil hills,36.0307,-75.676,21.01,59,0,4.12,US,1738698286
90,mangrol,21.1167,70.1167,18.2,69,0,5.98,IN,1738698553
91,chililabombwe,-12.3648,27.8229,17.28,97,91,0.81,ZM,1738698554
92,howrah,22.5892,88.3103,20.0,73,100,1.54,IN,1738698317
93,touros,-5.1989,-35.4608,27.87,74,100,6.24,BR,1738698556
94,puerto natales,-51.7236,-72.4875,14.25,41,75,11.32,CL,1738698558
95,san jose del guaviare,2.5729,-72.6459,36.06,28,71,3.62,CO,1738698559
96,namdrik,5.5994,168.1028,26.93,86,100,9.03,MH,1738698560
97,grand baie,-20.0182,57.5802,28.03,89,10,0.89,MU,1738698561
98,port elizabeth,-33.918,25.5701,22.4,98,100,2.24,ZA,1738698562
99,sangueya,10.7,-14.3667,23.71,44,85,1.72,GN,1738698563
100,izhmorskiy,56.194,86.6414,-21.92,100,100,0.92,RU,1738698564
101,kittila,67.6647,24.8936,-16.92,85,75,1.03,FI,1738698566
102,bengkulu,-3.8004,102.2655,24.23,86,100,1.25,ID,1738698567
103,ouidah,6.3631,2.0851,28.48,75,63,4.57,BJ,1738698568
104,arraial do cabo,-22.9661,-42.0278,31.98,54,0,7.72,BR,1738698569
105,haiku-pauwela,20.9219,-156.3051,22.9,79,15,4.92,US,1738698570
106,campo largo,-25.4586,-49.5283,19.68,99,100,1.75,BR,1738698356
107,carutapera,-1.195,-46.02,24.83,94,100,2.38,BR,1738698573
108,hadibu,12.65,54.0333,21.43,68,7,5.81,YE,1738698574
109,rabigh,22.7986,39.0349,25.08,62,72,0.7,SA,1738698575
110,dampit,-8.2116,112.7493,23.21,69,100,1.58,ID,1738698576
111,saurimo,-9.6608,20.3916,18.81,94,100,1.69,AO,1738698578
112,constantia,44.1833,28.65,0.39,64,5,4.6,RO,1738698579
113,anloga,5.7947,0.8973,28.66,77,79,5.6,GH,1738698580
114,cockburn town,21.4612,-71.1419,24.9,71,24,7.03,TC,1738698581
115,tianshui,34.5439,105.6897,-3.48,47,100,3.09,CN,1738698582
116,yaren,-0.5472,166.916,26.92,83,97,6.47,NR,1738698583
117,bure,10.7,37.0667,19.09,33,33,2.93,ET,1738698585
118,sheridan,44.8333,-106.9173,-13.88,82,75,3.09,US,1738698481
119,kuta,-8.7233,115.1723,27.97,94,40,1.54,ID,1738698588
120,colares,38.7992,-9.4469,12.55,78,20,3.6,PT,1738698589
121,lompoc,34.6391,-120.4579,18.23,67,100,7.2,US,1738698591
122,kasongo-lunda,-6.4667,16.8167,22.68,79,100,0.66,CD,1738698593
123,nizhniy kuranakh,58.8353,125.4869,-34.39,99,86,0.82,RU,1738698594
124,magadan,59.5667,150.8,-26.25,80,4,2.62,RU,1738698595
125,pidhorodne,48.5753,35.1068,-1.8,81,69,4.11,UA,1738698596
126,carnarvon,-24.8667,113.6333,26.77,79,84,7.31,AU,1738698597
127,codrington,-38.2667,141.9667,14.47,63,40,7.1,AU,1738698598
128,dwarka,22.2394,68.9678,20.14,53,0,4.53,IN,1738698600
129,bandarbeyla,9.4942,50.8122,22.66,68,25,9.29,SO,1738698601
130,surgut,61.25,73.4167,-10.9,100,100,3.0,RU,1738698602
131,spring creek,40.7266,-115.5859,14.11,37,60,6.71,US,1738698603
132,teruel,40.6667,-0.6667,2.65,70,0,1.97,ES,1738698604
133,antalaha,-14.9003,50.2788,24.45,91,100,1.43,MG,1738698606
134,burang,30.25,81.1667,-8.19,93,98,3.45,CN,1738698607
135,princeville,45.7668,-61.2985,-3.03,78,75,6.17,CA,1738698608
136,saipan,15.1355,145.701,27.39,74,0,3.6,MP,1738698598
137,debark',13.1561,37.8981,14.81,25,1,0.29,ET,1738698610
138,bubaque,11.2833,-15.8333,24.69,67,100,7.71,GW,1738698611
139,ust-nera,64.5667,143.2,-41.48,94,44,0.97,RU,1738698613
140,derbent,42.0678,48.2899,7.01,82,96,9.3,RU,1738698614
141,mazagao,-0.115,-51.2894,27.71,68,79,1.63,BR,1738698615
142,romankivtsi,48.4847,27.2138,-1.6,83,100,3.0,UA,1738698616
143,fortaleza,-3.7227,-38.5247,30.07,66,20,6.69,BR,1738698617
144,kudahuvadhoo,2.6708,72.8944,27.64,68,31,5.48,MV,1738698618
145,katsina,12.9894,7.6006,23.87,9,0,4.38,NG,1738698620
146,hawaiian paradise park,19.5933,-154.9731,24.94,73,20,2.06,US,1738698622
147,luderitz,-26.6481,15.1594,19.2,73,76,7.56,NA,1738698623
148,fort st. john,56.2499,-120.8529,-32.06,75,40,2.06,CA,1738698624
149,tiksi,71.6872,128.8694,-29.17,94,100,2.49,RU,1738698626
150,avarua,-21.2078,-159.775,29.03,84,94,6.17,CK,1738698627
151,quellon,-43.1167,-73.6167,16.03,64,47,3.14,CL,1738698465
152,amga,60.8953,131.9608,-42.84,100,74,0.85,RU,1738698629
153,nazret,8.55,39.2667,16.13,43,7,3.5,ET,1738698630
154,kijang,35.2442,129.2139,-7.15,51,0,4.54,KR,1738698631
155,port mathurin,-19.6833,63.4167,27.21,79,5,3.73,MU,1738698633
156,stanley,54.868,-1.6985,6.01,82,75,5.66,GB,1738698515
157,afaahiti,-17.75,-149.2833,26.19,77,57,4.68,PF,1738698635
158,reggane,26.7158,0.1714,16.99,16,0,4.18,DZ,1738698636
159,raton,36.9034,-104.4391,16.34,19,0,4.12,US,1738698637
160,udachny,66.4167,112.4,-40.93,100,92,1.9,RU,1738698638
